"","Authors","Title","Published.Year","Published.Month","Journal","Volume","Issue","Pages","DOI","Abstract"
"133","Hill, T. D.; Gonzalez, K. E.; Upenieks, L.","Love thy Aged? A State-Level Analysis of Religiosity and Mobility in Aging Populations During the Novel Coronavirus (COVID-19) Pandemic",2020,"31-Dec","J Aging Health",NA,"","8.98E+14","10.1177/0898264320984016","Objectives: We test whether the association between state religiosity and distance traveled is moderated by population age during the novel coronavirus (COVID-19) pandemic. Methods: Mobility is operationalized as the state-level average median distance traveled from February 24 to May 4 across the contiguous United States. Shelter-in-place rates are operationalized as the state-level percentage of users staying home. State religiosity is measured with an index of aggregated religious identities, beliefs, and practices. Population age is indicated by the state percentage of adults aged 65 years and older. We model population mobility using regression with state clustered robust SEs. Results: We observe that religious states tend to travel more during the early stages of the pandemic. However, the behavioral risks associated with state religiosity are less pronounced in states with larger older populations. Discussion: We contribute to our understanding of the social patterning of pandemic mobility in aging populations."
"134","Zhou, Y.; Xu, R.; Hu, D.; Yue, Y.; Li, Q.; Xia, J.","Effects of human mobility restrictions on the spread of COVID-19 in Shenzhen, China: a modelling study using mobile phone data",2020,"Aug","Lancet Digit Health",2,"8","e417-e424","10.1016/s2589-7500(20)30165-5","BACKGROUND: Restricting human mobility is an effective strategy used to control disease spread. However, whether mobility restriction is a proportional response to control the ongoing COVID-19 pandemic is unclear. We aimed to develop a model that can quantify the potential effects of various intracity mobility restrictions on the spread of COVID-19. METHODS: In this modelling study, we used anonymous and aggregated mobile phone sightings data to build a susceptible-exposed-infectious-recovered transmission model for COVID-19 based on the city of Shenzhen, China. We simulated how disease spread changed when we varied the type and magnitude of mobility restrictions in different transmission scenarios, with variables such as the basic reproductive number (R (0)), length of infectious period, and the number of initial cases. FINDINGS: 331 COVID-19 cases distributed across the ten regions of Shenzhen were reported on Feb 7, 2020. In our basic scenario (R (0) of 2¬∑68), mobility reduction of 20-60% within the city had a notable effect on controlling COVID-19 spread: a flattening of the peak number of cases by 33% (95% UI 21-42) and delay to the peak number by 2 weeks with a 20% restriction, 66% (48-75) reduction and 4 week delay with a 40% restriction, and 91% (79-95) reduction and 14 week delay with a 60% restriction. The effects of mobility restriction were increased when combined with reductions of 25% or 50% in transmissibility of the virus. In specific analyses of mobility restrictions for individuals with symptomatic infections and for high-risk regions, these measures also had substantial effects on reducing the spread of COVID-19. For example, the peak of the epidemic was delayed by 2 weeks if the proportion of individuals with symptomatic infections who could move freely was maintained at 20%, and by 4 weeks if two high-risk regions were locked down. The simulation results were also affected by various transmission parameters. INTERPRETATION: Our model shows the effects of various types and magnitudes of mobility restrictions on controlling COVID-19 outbreaks at the city level in Shenzhen, China. The model could help policy makers to establish the optimal combinations of mobility restrictions during the COVID-19 pandemic, especially to assess the potential positive effects of mobility restriction on public health in view of the potential negative economic and societal effects. FUNDING: Guangdong Medical Science Fund, and National Natural Science Foundation of China."
"135","Kang, Y.; Gao, S.; Liang, Y.; Li, M.; Rao, J.; Kruse, J.","Multiscale dynamic human mobility flow dataset in the U.S. during the COVID-19 epidemic",2020,"12-Nov","Sci Data",7,"1","390","10.1038/s41597-020-00734-5","Understanding dynamic human mobility changes and spatial interaction patterns at different geographic scales is crucial for assessing the impacts of non-pharmaceutical interventions (such as stay-at-home orders) during the COVID-19 pandemic. In this data descriptor, we introduce a regularly-updated multiscale dynamic human mobility flow dataset across the United States, with data starting from March 1st, 2020. By analysing millions of anonymous mobile phone users' visits to various places provided by SafeGraph, the daily and weekly dynamic origin-to-destination (O-D) population flows are computed, aggregated, and inferred at three geographic scales: census tract, county, and state. There is high correlation between our mobility flow dataset and openly available data sources, which shows the reliability of the produced data. Such a high spatiotemporal resolution human mobility flow dataset at different geographic scales over time may help monitor epidemic spreading dynamics, inform public health policy, and deepen our understanding of human behaviour changes under the unprecedented public health crisis. This up-to-date O-D flow open data can support many other social sensing and transportation applications."
"136","Ji, H.; Tong, H.; Wang, J.; Yan, D.; Liao, Z.; Kong, Y.","The effectiveness of travel restriction measures in alleviating the COVID-19 epidemic: evidence from Shenzhen, China",2021,"12-Apr","Environ Geochem Health",NA,"","18-Jan","10.1007/s10653-021-00920-3","With the expansion of the global novel coronavirus disease (COVID-19) pandemic, unprecedented interventions have been widely implemented in many countries, including China. In view of this scenario, this research aims to explore the effectiveness of population mobility restriction in alleviating epidemic transmission during different stages of the outbreak. Taking Shenzhen, a city with a large immigrant population in China, as a case study, the real-time reproduction number of COVID-19 is estimated by statistical methods to represent the dynamic spatiotemporal transmission pattern of COVID-19. Furthermore, migration data between Shenzhen and other provinces are collected to investigate the impact of nationwide population flow on near-real-time dynamic reproductive numbers. The results show that traffic flow control between populated cities has an inhibitory effect on urban transmission, but this effect is not significant in the late stage of the epidemic spread in China. This finding implies that the government should limit international and domestic population movement starting from the very early stage of the outbreak. This work confirms the effectiveness of travel restriction measures in the face of COVID-19 in China and provides new insight for densely populated cities in imposing intervention measures at various stages of the transmission cycle."
"137","Deforche, K.; Vercauteren, J.; M√ºller, V.; Vandamme, A. M.","Behavioral changes before lockdown and decreased retail and recreation mobility during lockdown contributed most to controlling COVID-19 in Western countries",2021,"6-Apr","BMC Public Health",21,"1","654","10.1186/s12889-021-10676-1","BACKGROUND: The COVID-19 pandemic has prompted a lockdown in many countries to control the exponential spread of the SARS-CoV-2 virus, hereby reducing the time-varying basic reproduction number (R(t)) to below one. Governments are looking for evidence to balance the demand of their citizens to ease some of the restriction, against the fear of a new peak in infections. In this study, we wanted to quantify the relative contribution of mobility restrictions, and that of behavioral changes that occurred already before the lockdowns, on the reduction of transmission during lockdowns in Western countries in early 2020. METHODS: Incidence data of cases and deaths from the first wave of infections for 35 Western countries (32 European, plus Israel, USA and Canada) were analyzed using epidemiological compartment models in a Bayesian framework. Mobility data was used to estimate the timing of changes associated with a lockdown, and was correlated with estimated reductions of R(t). RESULTS: Across all countries, the initial median estimate for R(t) was 3.6 (95% IQR 2.4-5.2), and it was reduced to 0.78 (95% IQR 0.58-1.01) during lockdown. 48% (18-65%) of the reduction occurred already in the week before lockdown, with lockdown itself causing the remaining drop in transmission. A lower R(t) during lockdown was independently associated with an increased time spent at home (0.21 per 10% more time, p¬†<‚Äâ0.007), and decreased mobility related to retail and recreation (0.07 per 10% less mobility, p¬†<‚Äâ0.008). CONCLUSIONS: In a Western population unaware of the risk, SARS-CoV-2 can be highly contagious with a reproduction number R(0)¬†>‚Äâ5. Our results are consistent with evidence that recreational activities (including restaurant and bar visits) enable super-spreading events. Exiting from lockdown therefore requires continued physical distancing and tight control on this kind of activities."
"138","Hu, B.; Dehmer, M.; Emmert-Streib, F.; Zhang, B.","Analysis of the real number of infected people by COVID-19: A system dynamics approach",2021,"","PLoS One",16,"3","e0245728","10.1371/journal.pone.0245728","At the beginning of 2020, the COVID-19 pandemic was able to spread quickly in Wuhan and in the province of Hubei due to a lack of experience with this novel virus. Additionally, authories had no proven experience with applying insufficient medical, communication and crisis management tools. For a considerable period of time, the actual number of people infected was unknown. There were great uncertainties regarding the dynamics and spread of the Covid-19 virus infection. In this paper, we develop a system dynamics model for the three connected regions (Wuhan, Hubei excl. Wuhan, China excl. Hubei) to understand the infection and spread dynamics of the virus and provide a more accurate estimate of the number of infected people in Wuhan and discuss the necessity and effectivity of protective measures against this epidemic, such as the quarantines imposed throughout China. We use the statistics of confirmed cases of China excl. Hubei. Also the daily data on travel activity within China was utilized, in order to determine the actual numerical development of the infected people in Wuhan City and Hubei Province. We used a multivariate Monte Carlo optimization to parameterize the model to match the official statistics. In particular, we used the model to calculate the infections, which had already broken out, but were not diagnosed for various reasons."
"139","Costantino, V.; Heslop, D. J.; MacIntyre, C. R.","The effectiveness of full and partial travel bans against COVID-19 spread in Australia for travellers from China during and after the epidemic peak in China",2020,"20-Aug","J Travel Med",27,"5","","10.1093/jtm/taaa081","BACKGROUND: Australia implemented a travel ban on China on 1 February 2020, while COVID-19 was largely localized to China. We modelled three scenarios to test the impact of travel bans on epidemic control. Scenario one was no ban; scenario two and three were the current ban followed by a full or partial lifting (allow over 100‚Äâ000 university students to enter Australia, but not tourists) from the 8th of March 2020. METHODS: We used disease incidence data from China and air travel passenger movements between China and Australia during and after the epidemic peak in China, derived from incoming passenger arrival cards. We used the estimated incidence of disease in China, using data on expected proportion of under-ascertainment of cases and an age-specific deterministic model to model the epidemic in each scenario. RESULTS: The modelled epidemic with the full ban fitted the observed incidence of cases well, predicting 57 cases on March 6th in Australia, compared to 66 observed on this date; however, we did not account for imported cases from other countries. The modelled impact without a travel ban results in more than 2000 cases and about 400 deaths, if the epidemic remained localized to China and no importations from other countries occurred. The full travel ban reduced cases by about 86%, while the impact of a partial lifting of the ban is minimal and may be a policy option. CONCLUSIONS: Travel restrictions were highly effective for containing the COVID-19 epidemic in Australia during the epidemic peak in China and averted a much larger epidemic at a time when COVID-19 was largely localized to China. This research demonstrates the effectiveness of travel bans applied to countries with high disease incidence. This research can inform decisions on placing or lifting travel bans as a control measure for the COVID-19 epidemic."
"140","Godin, A.; Xia, Y.; Buckeridge, D. L.; Mishra, S.; Douwes-Schultz, D.; Shen, Y.; Lavigne, M.; Drolet, M.; Schmidt, A. M.; Brisson, M.; Maheu-Giroux, M.","The role of case importation in explaining differences in early SARS-CoV-2 transmission dynamics in Canada-A mathematical modeling study of surveillance data",2021,"Jan","Int J Infect Dis",102,"","254-259","10.1016/j.ijid.2020.10.046","OBJECTIVE: The North American coronavirus disease-2019 (COVID-19) epidemic exhibited distinct early trajectories. In Canada, Quebec had the highest COVID-19 burden and its earlier March school break, taking place two weeks before those in other provinces, could have shaped early transmission dynamics. METHODS: We combined a semi-mechanistic model of SARS-CoV-2 transmission with detailed surveillance data from Quebec and Ontario (initially accounting for 85% of Canadian cases) to explore the impact of case importation and timing of control measures on cumulative hospitalizations. RESULTS: A total of 1544 and 1150 cases among returning travelers were laboratory-confirmed in Quebec and Ontario, respectively (symptoms onset ‚â§03-25-2020). Hospitalizations could have been reduced by 55% (95% CrI: 51%-59%) if no cases had been imported after Quebec's March break. However, if Quebec had experienced Ontario's number of introductions, hospitalizations would have only been reduced by 12% (95% CrI: 8%-16%). Early public health measures mitigated the epidemic spread as a one-week delay could have resulted in twice as many hospitalizations (95% CrI: 1.7-2.1). CONCLUSION: Beyond introductions, factors such as public health preparedness, responses and capacity could play a role in explaining interprovincial differences. In a context where regions are considering lifting travel restrictions, coordinated strategies and proactive measures are to be considered."
"141","Tian, H.; Liu, Y.; Li, Y.; Wu, C. H.; Chen, B.; Kraemer, M. U. G.; Li, B.; Cai, J.; Xu, B.; Yang, Q.; Wang, B.; Yang, P.; Cui, Y.; Song, Y.; Zheng, P.; Wang, Q.; Bjornstad, O. N.; Yang, R.; Grenfell, B. T.; Pybus, O. G.; Dye, C.","An investigation of transmission control measures during the first 50 days of the COVID-19 epidemic in China",2020,"8-May","Science",368,"6491","638-642","10.1126/science.abb6105","Responding to an outbreak of a novel coronavirus [agent of coronavirus disease 2019 (COVID-19)] in December 2019, China banned travel to and from Wuhan city on 23 January 2020 and implemented a national emergency response. We investigated the spread and control of COVID-19 using a data set that included case reports, human movement, and public health interventions. The Wuhan shutdown was associated with the delayed arrival of COVID-19 in other cities by 2.91 days. Cities that implemented control measures preemptively reported fewer cases on average (13.0) in the first week of their outbreaks compared with cities that started control later (20.6). Suspending intracity public transport, closing entertainment venues, and banning public gatherings were associated with reductions in case incidence. The national emergency response appears to have delayed the growth and limited the size of the COVID-19 epidemic in China, averting hundreds of thousands of cases by 19 February (day 50)."
"142","Kang, N.; Kim, B.","The Effects of Border Shutdowns on the Spread of COVID-19",2020,"Sep","J Prev Med Public Health",53,"5","293-301","10.3961/jpmph.20.332","OBJECTIVES: At the beginning of the coronavirus disease 2019 (COVID-19) pandemic, some countries imposed entry bans against Chinese visitors. We sought to identify the effects of border shutdowns on the spread of the COVID-19 outbreak. METHODS: We used the synthetic control method to measure the effects of entry bans against Chinese visitors on the cumulative number of confirmed cases using World Health Organization situation reports as the data source. The synthetic control method constructs a synthetic country that did not shut down its borders, but is similar in all other aspects. RESULTS: Six countries that shut down their borders were evaluated. For Australia, the effects of the policy began to appear 4 days after implementation, and the number of COVID-19 cases dropped by 94.4%. The border shutdown policy took around 13.2 days to show positive effects and lowered COVID-19 cases by 91.7% on average by the end of February. CONCLUSIONS: The border shutdowns in early February significantly reduced the spread of the virus. Our findings are informative for future planning of public health policies."
"143","Hu, Y.; Kong, L.; Yao, T.; Chen, X.; Du, W.","Does lock-down of Wuhan effectively restrict early geographic spread of novel coronavirus epidemic during chunyun in China? A spatial model study",2021,"29-Apr","BMC Public Health",21,"1","825","10.1186/s12889-021-10837-2","BACKGROUND: Prior to Wuhan lock-down in 2020, chunyun, the largest population mobility on this planet, had begun. We quantified impact of Wuhan lock-down on COVID-19 spread during chunyun across the nation. METHODS: During the period of January 1 to February 9, 2020, a total of 40,278 confirmed COVID-19 cases from 319 municipalities in mainland China were considered in this study. The cross-coupled meta-population methods were employed using between-city Baidu migration index. We modelled four scenarios of geographic spread of COVID-19 including the presence of both chunyun and lock-down (baseline); lock-down without chunyun (scenario 1); chunyun without lock-down (scenario 2); and the absence of both chunyun and lock-down (scenario 3). RESULTS: Compared with the baseline, scenario 1 resulted in 3.84% less cases by February 9 while scenario 2 and 3 resulted in 20.22 and 32.46% more cases by February 9. The geographic distribution of cases revealed that chunyun facilitated the COVID-19 spread in the majority but not all cities, and the effectiveness of Wuhan lock-down was offset by chunyun. Impacts of Wuhan lock-down during chunyun on the COVID-19 spread demonstrated heterogenetic geographic patterns. CONCLUSION: Our results strongly supported the travel restriction as one of the effective responses and highlighted the importance of developing area-specific rather than universal countermeasures."
"144","Thayer, W. M.; Hasan, M. Z.; Sankhla, P.; Gupta, S.","An interrupted time series analysis of the lockdown policies in India: a national-level analysis of COVID-19 incidence",2021,"26-Apr","Health Policy Plan",NA,"","","10.1093/heapol/czab027","India implemented a national mandatory lockdown policy (Lockdown 1.0) on 24 March 2020 in response to Coronavirus Disease 2019 (COVID-19). The policy was revised in three subsequent stages (Lockdown 2.0-4.0 between 15 April to 18 May 2020), and restrictions were lifted (Unlockdown 1.0) on 1 June 2020. This study evaluated the effect of lockdown policy on the COVID-19 incidence rate at the national level to inform policy response for this and future pandemics. We conducted an interrupted time series analysis with a segmented regression model using publicly available data on daily reported new COVID-19 cases between 2 March 2020 and 1 September 2020. National-level data from Google Community Mobility Reports during this timeframe were also used in model development and robustness checks. Results showed an 8% [95% confidence interval (CI) = 6-9%] reduction in the change in incidence rate per day after Lockdown 1.0 compared to prior to the Lockdown order, with an additional reduction of 3% (95% CI = 2-3%) after Lockdown 4.0, suggesting an 11% (95% CI = 9-12%) reduction in the change in COVID-19 incidence after Lockdown 4.0 compared to the period before Lockdown 1.0. Uptake of the lockdown policy is indicated by decreased mobility and attenuation of the increasing incidence of COVID-19. The increasing rate of incident case reports in India was attenuated after the lockdown policy was implemented compared to before, and this reduction was maintained after the restrictions were eased, suggesting that the policy helped to 'flatten the curve' and buy additional time for pandemic preparedness, response and recovery."
"145","Zhang, C.; Chen, C.; Shen, W.; Tang, F.; Lei, H.; Xie, Y.; Cao, Z.; Tang, K.; Bai, J.; Xiao, L.; Xu, Y.; Song, Y.; Chen, J.; Guo, Z.; Guo, Y.; Wang, X.; Xu, M.; Zou, H.; Shu, Y.; Du, X.","Impact of population movement on the spread of 2019-nCoV in China",2020,"Dec","Emerg Microbes Infect",9,"1","988-990","10.1080/22221751.2020.1760143","Since Dec 2019, China has experienced an outbreak caused by a novel coronavirus, 2019-nCoV. A travel ban was implemented for Wuhan, Hubei on Jan 23 to slow down the outbreak. We found a significant positive correlation between population influx from Wuhan and confirmed cases in other cities across China (R(2)‚Äâ=‚Äâ0.85, P‚Äâ<‚Äâ0.001), especially cities in Hubei (R(2)‚Äâ=‚Äâ0.88, P‚Äâ<‚Äâ0.001). Removing the travel restriction would have increased 118% (91%-172%) of the overall cases for the coming week, and a travel ban taken three days or a week earlier would have reduced 47% (26%-58%) and 83% (78%-89%) of the early cases. We would expect a 61% (48%-92%) increase of overall cumulative cases without any restrictions on returning residents, and 11% (8%-16%) increase if the travel ban stays in place for Hubei. Cities from Yangtze River Delta, Pearl River Delta, and Capital Economic Circle regions are at higher risk."
"146","Peixoto, P. S.; Marcondes, D.; Peixoto, C.; Oliva, S. M.","Modeling future spread of infections via mobile geolocation data and population dynamics.¬†An application to COVID-19 in Brazil",2020,"","PLoS One",15,"7","e0235732","10.1371/journal.pone.0235732","Mobile geolocation data is a valuable asset in the assessment of movement patterns of a population. Once a highly contagious disease takes place in a location the movement patterns aid in predicting the potential spatial spreading of the disease, hence mobile data becomes a crucial tool to epidemic models. In this work, based on millions of anonymized mobile visits data in Brazil, we investigate the most probable spreading patterns of the COVID-19 within states of Brazil. The study is intended to help public administrators in action plans and resources allocation, whilst studying how mobile geolocation data may be employed as a measure of population mobility during an epidemic. This study focuses on the states of S√£o Paulo and Rio de Janeiro during the period of March 2020, when the disease first started to spread in these states. Metapopulation models for the disease spread were simulated in order to evaluate the risk of infection of each city within the states, by ranking them according to the time the disease will take to infect each city. We observed that, although the high-risk regions are those closer to the capital cities, where the outbreak has started, there are also cities in the countryside with great risk. The mathematical framework developed in this paper is quite general and may be applied to locations around the world to evaluate the risk of infection by diseases, in special the COVID-19, when geolocation data is available."
"147","Kim, B.; Rundle, A. G.; Goodwin, A. T. S.; Morrison, C. N.; Branas, C. C.; El-Sadr, W.; Duncan, D. T.","COVID-19 testing, case, and death rates and spatial socio-demographics in New York City: An ecological analysis as of June 2020",2021,"Mar","Health Place",68,"","102539","10.1016/j.healthplace.2021.102539","We assessed the geographic variation in socio-demographics, mobility, and built environmental factors in relation to COVID-19 testing, case, and death rates in New York City (NYC). COVID-19 rates (as of June 10, 2020), relevant socio-demographic information, and built environment characteristics were aggregated by ZIP Code Tabulation Area (ZCTA). Spatially adjusted multivariable regression models were fitted to account for spatial autocorrelation. The results show that different sets of neighborhood characteristics were independently associated with COVID-19 testing, case, and death rates. For example, the proportions of Blacks and Hispanics in a ZCTA were positively associated with COVID-19 case rate. Contrary to the conventional hypothesis, neighborhoods with low-density housing experienced higher COVID-19 case rates. In addition, demographic changes (e.g. out-migration) during the pandemic may bias the estimates of COVID-19 rates. Future research should further investigate these neighborhood-level factors and their interactions over time to better understand the mechanisms by which they affect COVID-19."
"148","Garnier, R.; Benetka, J. R.; Kraemer, J.; Bansal, S.","Socioeconomic Disparities in Social Distancing During the COVID-19 Pandemic in the United States: Observational Study",2021,"22-Jan","J Med Internet Res",23,"1","e24591","10.2196/24591","BACKGROUND: Eliminating disparities in the burden of COVID-19 requires equitable access to control measures across socio-economic groups. Limited research on socio-economic differences in mobility hampers our ability to understand whether inequalities in social distancing are occurring during the SARS-CoV-2 pandemic. OBJECTIVE: We aimed to assess how mobility patterns have varied across the United States during the COVID-19 pandemic and to identify associations with socioeconomic factors of populations. METHODS: We used anonymized mobility data from tens of millions of devices to measure the speed and depth of social distancing at the county level in the United States between February and May 2020, the period during which social distancing was widespread in this country. Using linear mixed models, we assessed the associations between social distancing and socioeconomic variables, including the proportion of people in the population below the poverty level, the proportion of Black people, the proportion of essential workers, and the population density. RESULTS: We found that the speed, depth, and duration of social distancing in the United States are heterogeneous. We particularly show that social distancing is slower and less intense in counties with higher proportions of people below the poverty level and essential workers; in contrast, we show that social distancing is intensely adopted in counties with higher population densities and larger Black populations. CONCLUSIONS: Socioeconomic inequalities appear to be associated with the levels of adoption of social distancing, potentially resulting in wide-ranging differences in the impact of the COVID-19 pandemic in communities across the United States. These inequalities are likely to amplify existing health disparities and must be addressed to ensure the success of ongoing pandemic mitigation efforts."
"149","Skrip, L. A.; Selvaraj, P.; Hagedorn, B.; Ou√©draogo, A. L.; Noori, N.; Orcutt, A.; Mistry, D.; Bedson, J.; H√©bert-Dufresne, L.; Scarpino, S. V.; Althouse, B. M.","Seeding COVID-19 across Sub-Saharan Africa: An Analysis of Reported Importation Events across 49 Countries",2021,"8-Mar","Am J Trop Med Hyg",NA,"","","10.4269/ajtmh.20-1502","The first case of COVID-19 in sub-Saharan Africa (SSA) was reported by Nigeria on February 27, 2020. Whereas case counts in the entire region remain considerably less than those being reported by individual countries in Europe, Asia, and the Americas, variation in preparedness and response capacity as well as in data availability has raised concerns about undetected transmission events in the SSA region. To capture epidemiological details related to early transmission events into and within countries, a line list was developed from publicly available data on institutional websites, situation reports, press releases, and social media accounts. The availability of indicators-gender, age, travel history, date of arrival in country, reporting date of confirmation, and how detected-for each imported case was assessed. We evaluated the relationship between the time to first reported importation and the Global Health Security Index (GHSI) overall score; 13,201 confirmed cases of COVID-19 were reported by 48 countries in SSA during the 54 days following the first known introduction to the region. Of the 2,516 cases for which travel history information was publicly available, 1,129 (44.9%) were considered importation events. Imported cases tended to be male (65.0%), with a median age of 41.0 years (range: 6 weeks-88 years; IQR: 31-54 years). A country's time to report its first importation was not related to the GHSI overall score, after controlling for air traffic. Countries in SSA generally reported with less publicly available detail over time and tended to have greater information on imported than local cases."
"150","Liu, H.; Chen, C.; Cruz-Cano, R.; Guida, J. L.; Lee, M.","Public Compliance With Social Distancing Measures and SARS-CoV-2 Spread : A Quantitative Analysis of 5 States",2021,"28-Apr","Public Health Rep",NA,"","3.34E+14","10.1177/00333549211011254","OBJECTIVE: We quantified the association between public compliance with social distancing measures and the spread of SARS-CoV-2 during the first wave of the epidemic (March-May 2020) in 5 states that accounted for half of the total number of COVID-19 cases in the United States. METHODS: We used data on mobility and number of COVID-19 cases to longitudinally estimate associations between public compliance, as measured by human mobility, and the daily reproduction number and daily growth rate during the first wave of the COVID-19 epidemic in California, Illinois, Massachusetts, New Jersey, and New York. RESULTS: The 5 states mandated social distancing directives during March 19-24, 2020, and public compliance with mandates started to decrease in mid-April 2020. As of May 31, 2020, the daily reproduction number decreased from 2.41-5.21 to 0.72-1.19, and the daily growth rate decreased from 0.22-0.77 to -0.04 to 0.05 in the 5 states. The level of public compliance, as measured by the social distancing index (SDI) and daily encounter-density change, was high at the early stage of implementation but decreased in the 5 states. The SDI was negatively associated with the daily reproduction number (regression coefficients range, -0.04 to -0.01) and the daily growth rate (from -0.009 to -0.01). The daily encounter-density change was positively associated with the daily reproduction number (regression coefficients range, 0.24 to 1.02) and the daily growth rate (from 0.05 to 0.26). CONCLUSIONS: Social distancing is an effective strategy to reduce the incidence of COVID-19 and illustrates the role of public compliance with social distancing measures to achieve public health benefits."
"151","Humphries, R.; Spillane, M.; Mulchrone, K.; Wieczorek, S.; O'Riordain, M.; H√∂vel, P.","A metapopulation network model for the spreading of SARS-CoV-2: Case study for Ireland",2021,"","Infect Dis Model",6,"","420-437","10.1016/j.idm.2021.01.004","We present preliminary results on an all-Ireland network modelling approach to simulate the spreading the Severe Acute Respiratory Syndrome CoronaVirus 2 (SARS-CoV-2), commonly known as the coronavirus. In the model, nodes correspond to locations or communities that are connected by links indicating travel and commuting between different locations. While this proposed modelling framework can be applied on all levels of spatial granularity and different countries, we consider Ireland as a case study. The network comprises 3440 electoral divisions (EDs) of the Republic of Ireland and 890 superoutput areas (SOAs) for Northern Ireland, which corresponds to local administrative units below the NUTS 3 regions. The local dynamics within each node follows a phenomenological SIRX compartmental model including classes of Susceptibles, Infected, Recovered and Quarantined (X) inspired from Science 368, 742 (2020). For better comparison to empirical data, we extended that model by a class of Deaths. We consider various scenarios including the 5-phase roadmap for Ireland. In addition, as proof of concept, we investigate the effect of dynamic interventions that aim to keep the number of infected below a given threshold. This is achieved by dynamically adjusting containment measures on a national scale, which could also be implemented at a regional (county) or local (ED/SOA) level. We find that - in principle - dynamic interventions are capable to limit the impact of future waves of outbreaks, but on the downside, in the absence of a vaccine, such a strategy can last several years until herd immunity is reached."
"152","Liu, X. F.; Xu, X. K.; Wu, Y.","Mobility, exposure, and epidemiological timelines of COVID-19 infections in China outside Hubei province",2021,"5-Feb","Sci Data",8,"1","54","10.1038/s41597-021-00844-8","The 2019 coronavirus disease (COVID-19) is pseudonymously linked to more than 100 million cases in the world as of January 2021. High-quality data are needed but lacking in the understanding of and fighting against COVID-19. We provide a complete and updating hand-coded line-list dataset containing detailed information of the cases in China and outside the epicenter in Hubei province. The data are extracted from public disclosures by local health authorities, starting from January 19. This dataset contains a very rich set of features for the characterization of COVID-19's epidemiological properties, including individual cases' demographic information, travel history, potential virus exposure scenario, contacts with known infections, and timelines of symptom onset, quarantine, infection confirmation, and hospitalization. These cases can be considered the baseline COVID-19 transmissibility under extreme mitigation measures, and therefore, a reference for comparative scientific investigation and public policymaking."
"153","Zhang, Y.; Zhang, A.; Wang, J.","Exploring the roles of high-speed train, air and coach services in the spread of COVID-19 in China",2020,"Aug","Transp Policy (Oxf)",94,"","34-42","10.1016/j.tranpol.2020.05.012","To understand the roles of different transport modes in the spread of COVID-19 pandemic across Chinese cities, this paper looks at the factors influencing the number of imported cases from Wuhan and the spread speed and pattern of the pandemic. We find that frequencies of air flights and high-speed train (HST) services out of Wuhan are significantly associated with the number of COVID-19 cases in the destination cities. The presence of an airport or HST station at a city is significantly related to the speed of the pandemic spread, but its link with the total number of confirmed cases is weak. The farther the distance from Wuhan, the lower number of cases in a city and the slower the dissemination of the pandemic. The longitude and latitude coordinates do not have a significant relationship with the number of total cases but can increase the speed of the COVID-19 spread. Specifically, cities in the higher longitudinal region tended to record a COVID-19 case earlier than their counterparties in the west. Cities in the north were more likely to report the first case later than those in the south. The pandemic may emerge in large cities earlier than in small cities as GDP is a factor positively associated with the spread speed."
"154","Fan, C.; Cai, T.; Gai, Z.; Wu, Y.","The Relationship between the Migrant Population's Migration Network and the Risk of COVID-19 Transmission in China-Empirical Analysis and Prediction in Prefecture-Level Cities",2020,"11-Apr","Int J Environ Res Public Health",17,"8","","10.3390/ijerph17082630","The outbreak of COVID-19 in China has attracted wide attention from all over the world. The impact of COVID-19 has been significant, raising concerns regarding public health risks in China and worldwide. Migration may be the primary reason for the long-distance transmission of the disease. In this study, the following analyses were performed. (1) Using the data from the China migrant population survey in 2017 (Sample size = 432,907), a matrix of the residence-birthplace (R-B matrix) of migrant populations is constructed. The matrix was used to analyze the confirmed cases of COVID-19 at Prefecture-level Cities from February 1-15, 2020 after the outbreak in Wuhan, by calculating the probability of influx or outflow migration. We obtain a satisfactory regression analysis result (R(2) = 0.826-0.887, N = 330). (2) We use this R-B matrix to simulate an outbreak scenario in 22 immigrant cities in China, and propose risk prevention measures after the outbreak. If similar scenarios occur in the cities of Wenzhou, Guangzhou, Dongguan, or Shenzhen, the disease transmission will be wider. (3) We also use a matrix to determine that cities in Henan province, Anhui province, and Municipalities (such as Beijing, Shanghai, Guangzhou, Shenzhen, Chongqing) in China will have a high risk level of disease carriers after a similar emerging epidemic outbreak scenario due to a high influx or outflow of migrant populations."
